T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,Cv_debye_J_per_molK,A_eff_alpha_over_Cv_mol_per_J,residual_1e-8_per_K,rel_residual
13.0,0.10555386774141656,0.25485782536360096,0.017733714014697356,5.9521579999505796e-08,0.1493039576221844,1.414481163190967
14.0,0.13309041480754097,0.31831127573860596,0.02214898099969471,6.008873040677376e-08,0.185220860931065,1.3916919651870399
15.0,0.14906469638765094,0.39150894884025955,0.027242278015291947,5.4718146663056684e-08,0.2424442524526086,1.6264364287981303
16.0,0.11030769097369961,0.47514686057714545,0.03306203577792829,3.3363853246852793e-08,0.36483916960344587,3.3074681047437897
17.0,0.04474672330195559,0.5699210268543573,0.03965668500380012,1.1283525916921124e-08,0.5251743035524017,11.736598007600922
18.0,-0.045386038282090646,0.6765274635552108,0.04707465640758844,-9.64128933605438e-09,0.7219135018373014,-15.906069997789801
19.0,-0.17180920211933742,0.7956621864547961,0.055364380696443664,-3.1032443596063486e-08,0.9674713885741335,-5.631080155428084
20.0,-0.3406056923499412,0.9280212108847238,0.06457428854665759,-5.274633294702729e-08,1.268626903234665,-3.724620379894494
21.0,-0.5572548031493234,1.0743005506356311,0.07475281052729686,-7.454633467538125e-08,1.6315553537849545,-2.927844398225418
22.0,-0.8269343037943666,1.2351962148508264,0.08594837688405413,-9.621290520819439e-08,2.0621305186451933,-2.4937053756062126
23.0,-1.1544019759301651,1.4114042002706333,0.09820941699958792,-1.1754493725739244e-07,2.5658061762007986,-2.2226280184018115
24.0,-1.5438820451316155,1.6036204738655189,0.11158435818508765,-1.3836007754516466e-07,3.1475025189971344,-2.0386936482111953
25.0,-1.9989624023433001,1.8125409374638712,0.12612162321897627,-1.58494820422081e-07,3.811503339807172,-1.906740884840608
26.0,-2.522504697236022,2.038861361442459,0.14186962573290865,-1.7780442319521054e-07,4.561366058678481,-1.8082686084495683
27.0,-3.116569133524793,2.28327726916287,0.15887676217053862,-1.9616267923306883e-07,5.399846402687663,-1.7326252591677689
28.0,-3.7823555521281924,2.5464837481271965,0.1771913986472079,-2.1346157776309157e-07,6.328839300255388,-1.6732534033439515
29.0,-4.520162148372184,2.8291751585097598,0.19686185066877573,-2.2961087346361755e-07,7.349337306881944,-1.6259012543451814
30.0,-5.329362933914205,3.132044705598073,0.21793635338087552,-2.4453758408081495e-07,8.461407639512277,-1.5876958924427598
31.0,-6.208404819558522,3.45578384048426,0.24046301986736243,-2.5818543005003556e-07,9.66418866004278,-1.5566299139510686
32.0,-7.154824948830198,3.801081453639957,0.2644897850370196,-2.7051422601552514e-07,10.955906402470154,-1.5312612790423934
33.0,-8.165288610226703,4.168622829060376,0.2900643328500023,-2.8149922915373143e-07,12.333911439287077,-1.5105297593326141
34.0,-9.235647568070469,4.559088332444574,0.31723400503778504,-2.911304406654145e-07,13.794735900515043,-1.4936403537318033
35.0,-10.361017643945683,4.973151815065483,0.3460456900400127,-2.994118390189358e-07,15.334169459011164,-1.4799868107522696
36.0,-11.53587213840112,5.411478725016921,0.37654569157983186,-3.063604868243563e-07,16.94735086341804,-1.4691000957788836
37.0,-12.754143016313503,5.874723928697784,0.4087795770767217,-3.120053870479871e-07,18.62886694501129,-1.4606129883586512
38.0,-14.009313478001562,6.363529256934957,0.4427920068989229,-3.163858710123352e-07,20.37284273493652,-1.4542356245313113
39.0,-15.29447420902185,6.878520801307876,0.478626546234206,-3.1954922536907965e-07,22.172995010329725,-1.4497389519445132
40.0,-16.602307452314196,7.420305996359726,0.5163254620620373,-3.2154733152244587e-07,24.02261344867392,-1.446944258662395
41.0,-17.92497397171395,7.989470531934993,0.5559295083054664,-3.224324973565663e-07,25.914444503648937,-1.4457172738182253
42.0,-19.25393178381967,8.586575146503433,0.597477702701718,-3.2225356187780477e-07,27.840506930323105,-1.4459647641277762
43.0,-20.57982681768017,9.212152356811272,0.6410070992422561,-3.210545849181372e-07,29.79197917449144,-1.447630217611797
44.0,-21.892734715054942,9.866703181486502,0.686552560192158,-3.188792233026911e-07,31.759437896541446,-1.450683905410021
45.0,-23.183094549565123,10.550693916396652,0.7341465317105685,-3.1578293362700067e-07,33.73378846596177,-1.4551029153523667
46.0,-24.44350210782511,11.264553017794578,0.783818826971343,-3.118514287577681e-07,35.70805512561969,-1.4608403889141748
47.0,-25.671034412641923,12.008668145848786,0.8355964204436911,-3.072180993668083e-07,37.67970255849071,-1.4677905826784687
48.0,-26.869114083595484,12.783383416340087,0.8895032566576118,-3.020687544704287e-07,39.65249749993557,-1.4757649759708595
49.0,-28.047550735151784,13.588996902444212,0.9455600763710013,-2.966236777127529e-07,41.636547637595996,-1.484498522910709
50.0,-29.219839113498725,14.42575842192709,1.003784262596567,-2.910968043861685e-07,43.645597535425814,-1.4936973939484426
51.0,-30.398143944106238,15.293867638069724,1.0641897084589143,-2.8564591164978207e-07,45.692011582175965,-1.503118468883854
52.0,-31.587983876191615,16.193472495480137,1.1267867083540068,-2.803368520590278e-07,47.781456371671744,-1.5126465987493878
53.0,-32.785282943173925,17.12466800489336,1.1915818733921801,-2.7514083316693295e-07,49.90995094806728,-1.5223279004355459
54.0,-33.97744650673043,18.08749538428999,1.2585780716347905,-2.6996693548455433e-07,52.06494189102042,-1.5323382785903914
55.0,-35.147901529178526,19.0819415573534,1.3277743931954757,-2.6471290385854e-07,54.22984308653192,-1.5429041486733497
56.0,-36.28160563772687,20.10793900453817,1.3991661398770863,-2.5930877401674495e-07,56.38954464226504,-1.5542185537574236
57.0,-37.3687325204642,21.165365956926653,1.4727448386607593,-2.537352808137862e-07,58.53409847739085,-1.5663923962456014
58.0,-38.40518380186532,22.254046918646704,1.5484982780571956,-2.48015670059704e-07,60.65923072051202,-1.579454248506053
59.0,-39.39057708632551,23.37375349993334,1.6264105660733972,-2.421933176530278e-07,62.76433058625885,-1.5933843885736716
60.0,-40.325512945819106,24.524205539930005,1.706462208340293,-2.3631061238115403e-07,64.84971848574911,-1.608156071638331
61.0,-41.20970843881951,25.705072496018737,1.7886302047861835,-2.3039814674127013e-07,66.91478093483825,-1.6237625421247721
62.0,-42.04154377632751,26.91597507480223,1.8728881631249936,-2.2447439523660294e-07,68.95751885112973,-1.6402232805246775
63.0,-42.81861843428044,28.156487078782256,1.9592064273532765,-2.1855082668407126e-07,70.9751055130627,-1.6575757954918104
64.0,-43.538579731641384,29.426137442232324,2.047552219411878,-2.1263721295541388e-07,72.96471717387371,-1.6758635128570138
65.0,-44.19969727735163,30.72441242968935,2.1378897921630813,-2.0674450778227964e-07,74.92410970704098,-1.6951272140371163
66.0,-44.80103857773052,32.050757970818815,2.230180591856996,-2.008852500165747e-07,76.85179654854934,-1.715402119868499
67.0,-45.34235992474759,33.40458210609058,2.3243834283084652,-1.9507263462872305e-07,78.74694203083817,-1.7367190892033513
68.0,-45.82389059404059,34.785257518665276,2.4204546510727356,-1.8931935193965164e-07,80.60914811270587,-1.7591074670379276
69.0,-46.24613360616911,36.192124129090594,2.518348329991619,-1.8363676325237747e-07,82.43825773525971,-1.7825978369846396
70.0,-46.60972930414598,37.624491730782054,2.6180164385775524,-1.780345173442473e-07,84.23422103492804,-1.8072239914818669
71.0,-46.91537870663838,39.08164264576834,2.71940903880772,-1.7252049264059095e-07,85.99702135240672,-1.8330241324522956
72.0,-47.163806689398015,40.56283438178154,2.822474466011756,-1.6710091537530166e-07,87.72664107117956,-1.8600415706245292
73.0,-47.355746534351695,42.06730227341878,2.9271595126510968,-1.6178054639551264e-07,89.42304880777047,-1.8883251844188182
74.0,-47.49193419122941,43.59426209177271,3.0334096099043015,-1.5656287906573784e-07,91.08619628300212,-1.91792980922271
75.0,-47.57310637523066,45.14291260859187,3.1411690060884396,-1.5145032401319712e-07,92.71601898382252,-1.9489166474127053
76.0,-47.60000000070899,46.71243810265983,3.2503809410599014,-1.4644437333301411e-07,94.3124381033688,-1.9813537416379003
77.0,-47.57335202910934,48.30201079767123,3.360987815848569,-1.4154574379823573e-07,95.87536282678057,-2.0153165319970734
78.0,-47.49389943201553,49.910793222396975,3.4729313568846547,-1.3675450088544014e-07,97.40469265441251,-2.0508885102989085
79.0,-47.362379183002,51.53794048537943,3.586152774278297,-1.3207016589674863e-07,98.90031966838143,-2.088161983717997
80.0,-47.17952825599982,53.182602457754875,3.7005929137064024,-1.2749180835658637e-07,100.36213071375471,-2.127238961974819
81.0,-46.94608362499685,54.84392585907429,3.8161924015498334,-1.2301812562157792e-07,101.79000948407115,-2.168232185184286
82.0,-46.66278226398362,56.52105624216904,3.932891783005867,-1.1864751139508791e-07,103.18383850615265,-2.2112663133204222
83.0,-46.33036114693441,58.21313987419007,4.050631652976118,-1.1437811461551715e-07,104.54350102112448,-2.256479302839234
84.0,-45.94955724778184,59.91932551193746,4.169352779598889,-1.1020788999342578e-07,105.86888275971928,-2.304024001555096
85.0,-45.521107540370274,61.638766070488785,4.28899622035696,-1.0613464130444417e-07,107.15987361085905,-2.3540699996331287
86.0,-45.04574899837457,63.37062018493873,4.4095034307477565,-1.021560583993826e-07,108.4163691833133,-2.4068057828769898
87.0,-44.5242185951673,65.11405366577405,4.530816365552377,-9.826974876687394e-08,109.63827226094135,-2.462441244793493
88.0,-43.95725330361309,66.86824084904026,4.652877572783934,-9.447326437457145e-08,110.82549415265333,-2.521210626769166
89.0,-43.34559009576302,68.63236584300434,4.7756302804338,-9.076412442008738e-08,111.97795593876738,-2.5833759718433984
90.0,-42.689965942416706,70.40562367349317,4.899018476167431,-8.71398345405173e-08,113.09558961590987,-2.649231197993021
91.0,-41.99111781251263,72.1872213304955,5.022986980149835,-8.359790295785327e-08,114.17833914300815,-2.719106922868935
92.0,-41.24978267230061,73.97637871895184,5.1474815112041625,-8.013585397541516e-08,115.22616139125245,-2.793376205315798
93.0,-40.46669748424253,75.77232951693892,5.272448746526572,-7.675123918634871e-08,116.23902700118146,-2.8724614121635246
94.0,-39.642599205578875,77.57432194468247,5.397836375196255,-7.344164670819156e-08,117.21692115026134,-2.9568424749950677
95.0,-38.77822478649051,79.381619448008,5.5235931457318515,-7.020470871656238e-08,118.1598442344985,-3.0470668754198056
96.0,-37.87431116777472,81.19350129996734,5.649668907954283,-6.70381075153815e-08,119.06781246774206,-3.143761795172942
97.0,-36.93159527794545,83.00926312447619,5.776014649422906,-6.393958034998295e-08,119.94085840242164,-3.247648998093702
98.0,-35.95081402965632,84.82821734584373,5.902582526715032,-6.090692314244364e-08,120.77903137550005,-3.359563187522479
99.0,-34.93270431533442,86.64969356810872,6.029325891821183,-5.7937993304891415e-08,121.58239788344314,-3.480474823418469
100.0,-33.87800300190036,88.47303888807956,6.156199313927287,-5.503071176603641e-08,122.35104188997991,-3.611518715643207
101.0,-32.78744692443848,90.29761814595503,6.283158596853561,-5.21830643282784e-08,123.0850650703935,-3.754030173622659
102.0,-31.661772878667538,92.12281411734602,6.41016079241592,-4.9393102457160924e-08,123.78458699601356,-3.909591148618679
103.0,-30.501717612048825,93.94802765045156,6.5371642099710625,-4.665894359135862e-08,124.4497452625004,-4.080089745940737
104.0,-29.308017813354557,95.77267775205284,6.664128422400173,-4.397877104955143e-08,125.08069556540741,-4.26779785524809
105.0,-28.081410100504645,97.5962016258978,6.791014268779832,-4.1350833600221755e-08,125.67761172640245,-4.475473677304542
106.0,-26.82263100646448,99.41805466693305,6.917783853980647,-3.87734447514288e-08,126.24068567339751,-4.706498987477121
107.0,-25.53241696298056,101.237710414729,7.044400545426458,-3.624498180978274e-08,126.77012737770956,-4.965065687338316
108.0,-24.21150428191423,103.05466046931392,7.170828967237829,-3.376388475102676e-08,127.26616475122813,-5.256433605667979
109.0,-22.86062913391679,104.8684143725104,7.2970349919751065,-3.1328654938694556e-08,127.72904350642719,-5.587293453657587
110.0,-21.48052752417128,106.67849945772943,7.422985730186686,-2.8937853722145106e-08,128.1590269819007,-5.966288622925479
111.0,-20.07193526490828,108.48446067104778,7.548649517959074,-2.6590100940777446e-08,128.55639593595606,-6.4047833076021785
112.0,-18.635587944384035,110.28586036625535,7.67399590265571,-2.428407335731687e-08,128.9214483106394,-6.91802419625246
113.0,-17.172220891989664,112.082278076426,7.798995627022241,-2.2018503039661587e-08,129.25449896841567,-7.526952965571803
114.0,-15.682569139140362,113.87331026443022,7.923620611826497,-1.979217570782371e-08,129.55587940357057,-8.261138736524146
115.0,-14.167367375572635,115.65857005467436,8.04784393719216,-1.760392905993097e-08,129.825937430247,-9.163730563950278
116.0,-12.62734990065664,117.43768694822188,8.171639822776118,-1.5452651089028054e-08,130.06503684887852,-10.300263940743019
117.0,-11.063250569308558,119.21030652332459,8.29498360693059,-1.3337278400484165e-08,130.27355709263315,-11.775341819883876
118.0,-9.475802732065834,120.97609012326376,8.417851724982247,-1.125679453814069e-08,130.4518928553296,-13.766843458431683
119.0,-7.865739168864852,122.73471453328726,8.540221686752615,-9.210228325882918e-09,130.6004537021521,-16.60371020426295
120.0,-6.233792016037186,124.48587164830468,8.662072053435358,-7.196652230068761e-09,130.71966366434188,-20.9695259848339
121.0,-4.580692686016328,126.22926813289217,8.783382413938492,-5.215180747165412e-09,130.80996081890848,-28.556807842236942
122.0,-2.907171779221993,127.96462507505495,8.90413336079221,-3.2649688200125287e-09,130.87179685427697,-45.016877843145686
123.0,-1.2139589875638004,129.69167763508372,9.024306465715343,-1.3452102853286375e-09,130.90563662264753,-107.83365662570847
124.0,0.4982170110198722,131.41017469074617,9.143884254926792,5.448636456125625e-10,130.9119576797263,262.76091499112755
125.0,2.2286286675985836,133.11987847996042,9.262850184281772,2.4059858718004176e-09,130.89124981236185,58.73174464429788
126.0,3.976549687500006,134.8205642420051,9.381188614306199,4.238854851970267e-09,130.8440145545051,32.9039053543839
127.0,5.74125516643895,136.51201985823582,9.49888478519675,6.0441360183526345e-09,130.77076469179684,22.77738245396751
128.0,7.522021738219501,138.19404549319393,9.61592479184823,7.822463154657983e-09,130.67202375497445,17.37192849244612
129.0,9.318127734732666,139.86645323692244,9.732295558964891,9.574439738576666e-09,130.54832550218975,14.010145516204942
130.0,11.128853359002111,141.52906674922366,9.847984816306928,1.1300640249337346e-08,130.40021339022155,11.717308979072946
131.0,12.953480872060279,143.1817209065292,9.962981074118687,1.3001611441087804e-08,130.2282400344689,10.05353243044978
132.0,14.791294794467797,144.8242614519896,10.07727359878095,1.4677873583046414e-08,130.0329666575218,8.791182142225736
133.0,16.64158212332076,146.4565446493244,10.19085238872485,1.632992166752704e-08,129.81496252600365,7.800638278501588
134.0,18.503632565621775,148.0784369409231,10.303708150641592,1.7958226587065735e-08,129.57480437530134,7.002668471489249
135.0,20.376738788923472,149.68981461063058,10.415832276018136,1.9563236281981765e-08,129.31307582170712,6.346112455050953
136.0,22.26019669018624,151.2905634515998,10.527216818025456,2.1145376859789507e-08,129.03036676141357,5.796461215380844
137.0,24.153305683825135,152.88057843955443,10.637854468783255,2.2705053687943303e-08,128.7272727557293,5.329592331617561
138.0,26.055369009955758,154.45976341175134,10.747738537021275,2.424265246145165e-08,128.4043944017956,4.92813570795072
139.0,27.965694063883113,156.0280307519033,10.856862926155364,2.575854024693516e-08,128.06233668802017,4.579265452717978
140.0,29.883592747913255,157.58530108127297,10.965222112792917,2.7253066504734668e-08,127.70170833335972,4.273305067787642
141.0,31.80838184660322,159.13150295613048,11.07281112568115,2.8726564090694276e-08,127.32312110952725,4.002816670258375
142.0,33.73938342660163,160.66657257171542,11.179625525107957,3.017935023926109e-08,126.9271891451138,3.7619889948859817
143.0,35.67592526226912,162.1904534728358,11.285661382764568,3.161172752954762e-08,126.51452821056671,3.5462157541956887
144.0,37.61734128830585,163.70309627119025,11.390915262076057,3.3023984836008595e-08,126.08575498288438,3.3517986828612156
145.0,39.562972080651484,165.20445836948812,11.495384199004853,3.441639826538066e-08,125.64148628883663,3.1757342707395426
146.0,41.512165366962165,166.69450369241545,11.599065683330604,3.578923208152934e-08,125.1823383254533,3.0155579025776573
147.0,43.464276568008046,168.1732024244683,11.701957640407883,3.7142739619841125e-08,124.70892585646024,2.8692281501874217
148.0,45.418669371375756,169.64053075466754,11.80405841340276,3.8477164192787915e-08,124.2218613832918,2.7350396456480124
149.0,47.37471633890064,171.0964706281388,11.90536674600702,3.979273998828285e-08,123.72175428923816,2.6115566245121125
150.0,49.33179954929422,172.54100950453605,12.005881765628622,4.1089692962432094e-08,123.20920995524185,2.497561635312462
151.0,51.289311277475726,173.9741401232684,12.105602967055523,4.2368241728277135e-08,122.68482884579267,2.3920155250684965
152.0,53.24665471215816,175.39586027547588,12.204530196589126,4.362859844210908e-08,122.14920556331772,2.2940259106160634
153.0,55.203244713283254,176.80617258269277,12.302663636643047,4.4870969688923586e-08,121.6029278694095,2.202822107667683
154.0,57.15850861094442,178.20508428212005,12.400003790801803,4.6095557368574375e-08,121.04657567117562,2.1177350251577107
155.0,59.11188704748257,179.59260701842945,12.496551469333925,4.730255958417084e-08,120.48071997094686,2.0381809140041294
156.0,61.06283486448858,180.96875664200223,12.592307775152891,4.849217153425809e-08,119.90592177751367,1.9636481346404961
157.0,63.01082203649547,182.33355301350537,12.68727409021896,4.9664586410309055e-08,119.32273097700987,1.893686308486801
158.0,64.95533465319981,183.68701981470596,12.781452062375143,5.081999630105356e-08,118.73168516150614,1.8278973666354161
159.0,66.89587595210833,185.02918436540216,12.874843592608732,5.1958593105171636e-08,118.13330841329383,1.765928119363697
160.0,68.83196740356846,186.36007744637033,12.967450822731475,5.30805694538733e-08,117.52811004280188,1.7074640530572553
161.0,70.76314985019738,187.67973312819512,13.059276123469106,5.418611964489165e-08,116.91658327799774,1.6522241240745397
162.0,72.68898470276429,188.98818860587522,13.150322082952746,5.527544058939342e-08,116.29920390311091,1.599956367236041
163.0,74.60905519456449,190.28548403906848,13.240591495602722,5.6348732773262126e-08,115.67642884450402,1.550434173745326
164.0,76.52296769619488,191.57166239785712,13.330087351396475,5.740620123406637e-08,115.04869470166224,1.503453122184427
165.0,78.4303530922744,192.8467693139011,13.418812825511411,5.84480565547238e-08,114.4164162216267,1.4588282687828038
166.0,80.33086822087914,194.11085293685747,13.506771268334145,5.9474515874278764e-08,113.77998471597833,1.4163918209265076
167.0,82.22419737500137,195.36396379592364,13.593966195826313,6.04858039151563e-08,113.13976642092224,1.3759911319647633
168.0,84.11005386284715,196.6061546663885,13.680401280238824,6.148215402448985e-08,112.49610080354134,1.3374869666232942
169.0,85.98818161983992,197.83748044105377,13.766080341164997,6.246380922440767e-08,111.84929882121385,1.3007519953812703
170.0,87.85835685941744,199.05799800639454,13.851007336923466,6.343102326226347e-08,111.19964114697709,1.2656694834949866
171.0,89.72038974190255,200.26776612333816,13.935186356262466,6.438406164664045e-08,110.54737638143561,1.232132146320873
172.0,91.57412603112664,201.4668453125237,14.01862161037583,6.532320264878853e-08,109.89271928139704,1.2000411474748205
173.0,93.41944869805428,202.65529774392402,14.101317425222623,6.624873824268192e-08,109.23584904586974,1.1693052203608743
174.0,95.25627942130959,203.83318713070145,14.18327823414131,6.716097495148422e-08,108.57690770939186,1.1398398968446624
175.0,97.08457992918034,205.0005786271681,14.26450857074955,6.80602345658508e-08,107.91599869798776,1.1115668294255232
176.0,98.90435312991718,206.1575387307413,14.345013062121984,6.894685470247092e-08,107.2531856008241,1.0844131952406604
177.0,100.71564399005533,207.30413518775947,14.424796422236653,6.982118918142677e-08,106.58849119770414,1.0583111716808236
178.0,102.51854014485055,208.44043690305116,14.503863445682548,7.068360821844876e-08,105.92189675820063,1.0331974744133248
179.0,104.31317225665215,209.5665138531336,14.582219001619723,7.153449844983507e-08,105.25334159648146,1.0090129493667024
180.0,106.09971416450212,210.68243700293186,14.6598680279844,7.237426282553642e-08,104.58272283842975,0.9857022110001129
181.0,107.87838287057245,211.78827822590398,14.73681552593104,7.320332040578824e-08,103.90989535533151,0.9632133203182871
182.0,109.64943835696987,212.8841102274606,14.81306655450367,7.402210605989126e-08,103.23467187049073,0.9414974980027211
183.0,111.41318308730922,213.97000647157677,14.888626225529334,7.48310699722386e-08,102.55682338426755,0.9205088710543224
184.0,113.16996079560849,215.0460411104861,14.963499698726016,7.563067669606979e-08,101.87608031487761,0.9002042556051754
185.0,114.92015379677153,216.11228891735777,15.037692177018116,7.642140326053643e-08,101.19213512058623,0.8805429837793084
186.0,116.66417760359774,217.16882522185477,15.111208902052415,7.720373555801503e-08,100.50464761825702,0.8614867878274712
187.0,118.40247119292495,218.21572584847533,15.184055149907701,7.797816197581756e-08,99.81325465555038,0.8429997587880974
188.0,120.1354809717221,219.25306705758433,15.256236226991579,7.874516308234431e-08,99.11758608586223,0.8250483977268369
189.0,121.86363653632174,220.28092548903896,15.327757466117772,7.950519624655013e-08,98.41728895271724,0.8076017731785292
190.0,123.58731688045648,221.2993781083215,15.398624222757906,8.025867447158334e-08,97.71206122786502,0.7906317872600142
191.0,125.30680692054233,222.30850215508644,15.468841871461267,8.100593952784728e-08,97.00169523454413,0.7741135347583583
192.0,127.02224607687698,223.30837509404407,15.538415802437143,8.1747230664888e-08,96.28612901716708,0.758025715896193
193.0,128.73357300378984,224.29907456808724,15.607351418293268,8.248265163870285e-08,95.56550156429738,0.7423510381513607
194.0,130.44047302300353,225.28067835358937,15.675654130925318,8.321214026129051e-08,94.8402053305858,0.7270765210569304
195.0,132.1423368325509,226.25326431779055,15.743329358551724,8.393544581519641e-08,94.11092748523966,0.7121936068415062
196.0,133.83824001134406,227.21691037819772,15.810382522888624,8.465212009740246e-08,93.37867036685367,0.6976979849625857
197.0,135.5269521622708,228.1716944639208,15.876819046459524,8.536152724653799e-08,92.64474230165001,0.6835890634559794
198.0,137.20698192505446,229.11769447887875,15.942644350035074,8.606287571406094e-08,91.9107125538243,0.6698690639812193
199.0,138.87665962715084,230.0549882668041,16.007863850197985,8.675527286261447e-08,91.17832863965326,0.6565417751582181
200.0,140.53425357267417,230.98365357797212,16.072482957027955,8.74377990932778e-08,90.44940000529796,0.6436110606907949
201.0,142.1781098594132,231.9037680376037,16.13650707190304,8.810959473811677e-08,89.72565817819049,0.6310792728002355
202.0,143.8068003740621,232.81540911586123,16.199941585411914,8.876994995065939e-08,89.00860874179912,0.6189457557658954
203.0,145.4192604402082,233.71865409939127,16.262791875373697,8.941838618768322e-08,88.29939365918307,0.6072056300650007
204.0,147.014897362076,234.61358006434313,16.325063304960533,9.005471808333145e-08,87.59868270226714,0.5958490212493535
205.0,148.59365413668067,235.500263850816,16.38676122091954,9.06790866928507e-08,86.90660971413533,0.5848608422685141
206.0,150.1560185292327,236.37878203867123,16.44789095188977,9.129195893165903e-08,86.22276350943852,0.5742211624547868
207.0,151.7029755123632,237.24921092466138,16.508457806810778,9.18940928872085e-08,85.54623541229819,0.5639061140585638
208.0,153.23590932033562,238.111626500818,16.568467073418788,9.248647363773072e-08,84.8757171804824,0.5538892127631256
